sequence_id,visible_filename,thermal_filename,visible_exists,thermal_exists,notes
0400,DJI_20260602140225_0400_V.JPG,DJI_20260602140225_0400_T.JPG,yes,yes,
0401,DJI_20260602140225_0401_V.JPG,DJI_20260602140225_0401_T.JPG,yes,yes,
0402,DJI_20260602140226_0402_V.JPG,DJI_20260602140226_0402_T.JPG,yes,yes,
0403,DJI_20260602140227_0403_V.JPG,DJI_20260602140227_0403_T.JPG,yes,yes,
0404,DJI_20260602140227_0404_V.JPG,DJI_20260602140228_0404_T.JPG,yes,yes,
0405,DJI_20260602140228_0405_V.JPG,DJI_20260602140228_0405_T.JPG,yes,yes,
0406,DJI_20260602140229_0406_V.JPG,DJI_20260602140229_0406_T.JPG,yes,yes,
0407,DJI_20260602140229_0407_V.JPG,DJI_20260602140230_0407_T.JPG,yes,yes,
0408,DJI_20260602140230_0408_V.JPG,DJI_20260602140230_0408_T.JPG,yes,yes,
0409,DJI_20260602140231_0409_V.JPG,DJI_20260602140231_0409_T.JPG,yes,yes,
0410,DJI_20260602140232_0410_V.JPG,DJI_20260602140232_0410_T.JPG,yes,yes,
0411,DJI_20260602140232_0411_V.JPG,DJI_20260602140232_0411_T.JPG,yes,yes,
0412,DJI_20260602140233_0412_V.JPG,DJI_20260602140233_0412_T.JPG,yes,yes,
0413,DJI_20260602140234_0413_V.JPG,DJI_20260602140234_0413_T.JPG,yes,yes,
0414,DJI_20260602140234_0414_V.JPG,DJI_20260602140235_0414_T.JPG,yes,yes,
0415,DJI_20260602140235_0415_V.JPG,DJI_20260602140235_0415_T.JPG,yes,yes,
0416,DJI_20260602140236_0416_V.JPG,DJI_20260602140236_0416_T.JPG,yes,yes,
0417,DJI_20260602140236_0417_V.JPG,DJI_20260602140237_0417_T.JPG,yes,yes,
0418,DJI_20260602140237_0418_V.JPG,DJI_20260602140237_0418_T.JPG,yes,yes,
0419,DJI_20260602140238_0419_V.JPG,DJI_20260602140238_0419_T.JPG,yes,yes,
0420,DJI_20260602140239_0420_V.JPG,DJI_20260602140239_0420_T.JPG,yes,yes,
0421,DJI_20260602140239_0421_V.JPG,DJI_20260602140239_0421_T.JPG,yes,yes,
0422,DJI_20260602140240_0422_V.JPG,DJI_20260602140240_0422_T.JPG,yes,yes,
0423,DJI_20260602140241_0423_V.JPG,DJI_20260602140241_0423_T.JPG,yes,yes,
0424,DJI_20260602140241_0424_V.JPG,DJI_20260602140242_0424_T.JPG,yes,yes,
0425,DJI_20260602140242_0425_V.JPG,DJI_20260602140242_0425_T.JPG,yes,yes,
0426,DJI_20260602140243_0426_V.JPG,DJI_20260602140243_0426_T.JPG,yes,yes,
0427,DJI_20260602140243_0427_V.JPG,DJI_20260602140244_0427_T.JPG,yes,yes,
0428,DJI_20260602140244_0428_V.JPG,DJI_20260602140244_0428_T.JPG,yes,yes,
0429,DJI_20260602140245_0429_V.JPG,DJI_20260602140245_0429_T.JPG,yes,yes,
0430,DJI_20260602140246_0430_V.JPG,DJI_20260602140246_0430_T.JPG,yes,yes,
0431,DJI_20260602140246_0431_V.JPG,DJI_20260602140246_0431_T.JPG,yes,yes,
0432,DJI_20260602140247_0432_V.JPG,DJI_20260602140247_0432_T.JPG,yes,yes,
0433,DJI_20260602140248_0433_V.JPG,DJI_20260602140248_0433_T.JPG,yes,yes,
0434,DJI_20260602140248_0434_V.JPG,DJI_20260602140249_0434_T.JPG,yes,yes,
0435,DJI_20260602140249_0435_V.JPG,DJI_20260602140249_0435_T.JPG,yes,yes,
0436,DJI_20260602140250_0436_V.JPG,DJI_20260602140250_0436_T.JPG,yes,yes,
0437,DJI_20260602140250_0437_V.JPG,DJI_20260602140251_0437_T.JPG,yes,yes,
0438,DJI_20260602140251_0438_V.JPG,DJI_20260602140251_0438_T.JPG,yes,yes,
0439,DJI_20260602140252_0439_V.JPG,DJI_20260602140252_0439_T.JPG,yes,yes,
0440,DJI_20260602140253_0440_V.JPG,DJI_20260602140253_0440_T.JPG,yes,yes,
0441,DJI_20260602140253_0441_V.JPG,DJI_20260602140253_0441_T.JPG,yes,yes,
0442,DJI_20260602140254_0442_V.JPG,DJI_20260602140254_0442_T.JPG,yes,yes,
0443,DJI_20260602140255_0443_V.JPG,DJI_20260602140255_0443_T.JPG,yes,yes,
0444,DJI_20260602140255_0444_V.JPG,DJI_20260602140256_0444_T.JPG,yes,yes,
0445,DJI_20260602140256_0445_V.JPG,DJI_20260602140256_0445_T.JPG,yes,yes,
0446,DJI_20260602140257_0446_V.JPG,DJI_20260602140257_0446_T.JPG,yes,yes,
0447,DJI_20260602140257_0447_V.JPG,DJI_20260602140258_0447_T.JPG,yes,yes,
0448,DJI_20260602140258_0448_V.JPG,DJI_20260602140258_0448_T.JPG,yes,yes,
0449,DJI_20260602140259_0449_V.JPG,DJI_20260602140259_0449_T.JPG,yes,yes,
0450,DJI_20260602140300_0450_V.JPG,DJI_20260602140300_0450_T.JPG,yes,yes,
0451,DJI_20260602140300_0451_V.JPG,DJI_20260602140300_0451_T.JPG,yes,yes,
0452,DJI_20260602140301_0452_V.JPG,DJI_20260602140301_0452_T.JPG,yes,yes,
0453,DJI_20260602140302_0453_V.JPG,DJI_20260602140302_0453_T.JPG,yes,yes,
0454,DJI_20260602140302_0454_V.JPG,DJI_20260602140303_0454_T.JPG,yes,yes,
0455,DJI_20260602140303_0455_V.JPG,DJI_20260602140303_0455_T.JPG,yes,yes,
0456,DJI_20260602140304_0456_V.JPG,DJI_20260602140304_0456_T.JPG,yes,yes,
0457,DJI_20260602140304_0457_V.JPG,DJI_20260602140305_0457_T.JPG,yes,yes,
0458,DJI_20260602140305_0458_V.JPG,DJI_20260602140305_0458_T.JPG,yes,yes,
0459,DJI_20260602140306_0459_V.JPG,DJI_20260602140306_0459_T.JPG,yes,yes,
0460,DJI_20260602140307_0460_V.JPG,DJI_20260602140307_0460_T.JPG,yes,yes,
0461,DJI_20260602140307_0461_V.JPG,DJI_20260602140307_0461_T.JPG,yes,yes,
